url,source,discovered_at
https://news.ycombinator.com/,manual,bootstrap
https://www.packetstormsecurity.com/,manual,bootstrap
https://www.hybrid-analysis.com/,manual,bootstrap
https://www.threatpost.com/,manual,bootstrap
https://www.virustotal.com/gui/home/upload,manual,bootstrap
https://www.abuse.ch/,manual,bootstrap
https://www.phishtank.com/,manual,bootstrap
https://www.cisa.gov/malicious-activity,manual,bootstrap
https://www.infosecurity-magazine.com/,manual,bootstrap
https://www.malwarebytes.com/blog/,manual,bootstrap
https://www.bleepingcomputer.com/,manual,bootstrap
https://www.opswat.com/resources/malware,manual,bootstrap
https://www.cybersecurity-help.cz/,manual,bootstrap
https://www.trustedsec.com/blog/,manual,bootstrap
https://www.threatbook.com/,manual,bootstrap
